
2021/10/02 (16:32:24) | ===> btop++ v.1.0.12
2021/10/02 (16:32:24) | ERROR: Invalid size of hex value: 30d63f0
2021/10/02 (16:32:24) | ERROR: Invalid size of hex value: 30d63f0
2021/10/02 (16:32:24) | ERROR: Invalid size of hex value: 30d63f0
2021/10/02 (16:32:24) | ERROR: Invalid size of hex value: 30d63f0

2021/10/02 (16:32:51) | ===> btop++ v.1.0.12
2021/10/02 (16:32:51) | ERROR: Invalid size of hex value: 30d63f0
2021/10/02 (16:32:51) | ERROR: Invalid size of hex value: 30d63f0
2021/10/02 (16:32:51) | ERROR: Invalid size of hex value: 30d63f0
2021/10/02 (16:32:51) | ERROR: Invalid size of hex value: 30d63f0

2021/10/02 (16:33:53) | ===> btop++ v.1.0.12
2021/10/02 (16:33:53) | ERROR: Invalid size of hex value: 30d63f0
2021/10/02 (16:33:53) | ERROR: Invalid size of hex value: 30d63f0
2021/10/02 (16:33:53) | ERROR: Invalid size of hex value: 30d63f0
2021/10/02 (16:33:53) | ERROR: Invalid size of hex value: 30d63f0

2021/10/02 (16:34:06) | ===> btop++ v.1.0.12
2021/10/02 (16:34:06) | ERROR: Invalid size of hex value: 30d63f0
2021/10/02 (16:34:06) | ERROR: Invalid size of hex value: 30d63f0
2021/10/02 (16:34:06) | ERROR: Invalid size of hex value: 30d63f0
2021/10/02 (16:34:06) | ERROR: Invalid size of hex value: 30d63f0

2021/10/02 (16:34:29) | ===> btop++ v.1.0.12
2021/10/02 (16:34:29) | ERROR: Invalid size of hex value: 30d63f0
2021/10/02 (16:34:29) | ERROR: Invalid size of hex value: 30d63f0
2021/10/02 (16:34:29) | ERROR: Invalid size of hex value: 30d63f0
2021/10/02 (16:34:29) | ERROR: Invalid size of hex value: 30d63f0

2021/10/02 (16:34:40) | ===> btop++ v.1.0.12
2021/10/02 (16:34:40) | ERROR: Invalid size of hex value: 30d63f0
2021/10/02 (16:34:40) | ERROR: Invalid size of hex value: 30d63f0
2021/10/02 (16:34:40) | ERROR: Invalid size of hex value: 30d63f0
2021/10/02 (16:34:40) | ERROR: Invalid size of hex value: 30d63f0

2021/10/02 (16:35:03) | ===> btop++ v.1.0.12
2021/10/02 (16:35:03) | ERROR: Invalid size of hex value: 30d63f0
2021/10/02 (16:35:03) | ERROR: Invalid size of hex value: 30d63f0
2021/10/02 (16:35:03) | ERROR: Invalid size of hex value: 30d63f0
2021/10/02 (16:35:03) | ERROR: Invalid size of hex value: 30d63f0

2021/10/02 (16:35:26) | ===> btop++ v.1.0.12
2021/10/02 (16:35:26) | ERROR: Invalid size of hex value: 30d63f0
2021/10/02 (16:35:26) | ERROR: Invalid size of hex value: 30d63f0
2021/10/02 (16:35:26) | ERROR: Invalid size of hex value: 30d63f0
2021/10/02 (16:35:26) | ERROR: Invalid size of hex value: 30d63f0

2021/10/02 (16:35:44) | ===> btop++ v.1.0.12
2021/10/02 (16:35:44) | ERROR: Invalid size of hex value: 30d63f0
2021/10/02 (16:35:44) | ERROR: Invalid size of hex value: 30d63f0
2021/10/02 (16:35:44) | ERROR: Invalid size of hex value: 30d63f0
2021/10/02 (16:35:44) | ERROR: Invalid size of hex value: 30d63f0

2021/10/02 (16:36:07) | ===> btop++ v.1.0.12
2021/10/02 (16:36:07) | ERROR: Invalid size of hex value: 30d63f0
2021/10/02 (16:36:07) | ERROR: Invalid size of hex value: 30d63f0
2021/10/02 (16:36:07) | ERROR: Invalid size of hex value: 30d63f0
2021/10/02 (16:36:07) | ERROR: Invalid size of hex value: 30d63f0

2021/10/02 (16:36:59) | ===> btop++ v.1.0.12
2021/10/02 (16:36:59) | ERROR: Invalid size of hex value: 30d63f0
2021/10/02 (16:36:59) | ERROR: Invalid size of hex value: 30d63f0
2021/10/02 (16:36:59) | ERROR: Invalid size of hex value: 30d63f0
2021/10/02 (16:36:59) | ERROR: Invalid size of hex value: 30d63f0

2021/10/02 (16:37:14) | ===> btop++ v.1.0.12
2021/10/02 (16:37:14) | ERROR: Invalid size of hex value: 30d63f0
2021/10/02 (16:37:14) | ERROR: Invalid size of hex value: 30d63f0
2021/10/02 (16:37:14) | ERROR: Invalid size of hex value: 30d63f0

2021/10/02 (16:38:02) | ===> btop++ v.1.0.12
2021/10/02 (16:38:02) | ERROR: Invalid size of hex value: 30d63f0
2021/10/02 (16:38:02) | ERROR: Invalid size of hex value: 30d63f0

2021/10/02 (16:38:51) | ===> btop++ v.1.0.12
2021/10/02 (16:38:51) | ERROR: Invalid size of hex value: 30d63f0
2021/10/02 (16:38:51) | ERROR: Invalid size of hex value: 30d63f0

2021/10/02 (16:39:36) | ===> btop++ v.1.0.12
2021/10/02 (16:39:36) | ERROR: Invalid size of hex value: 30d63f0
2021/10/02 (16:39:36) | ERROR: Invalid size of hex value: 30d63f0

2021/10/02 (16:40:24) | ===> btop++ v.1.0.12
2021/10/02 (16:40:24) | ERROR: Invalid size of hex value: 30d63f0

2021/10/02 (16:40:56) | ===> btop++ v.1.0.12
2021/10/02 (16:40:56) | ERROR: Invalid size of hex value: 30d63f0

2021/10/02 (16:41:30) | ===> btop++ v.1.0.12
2021/10/02 (16:41:30) | ERROR: Invalid size of hex value: 30d63f0

2021/10/02 (16:42:05) | ===> btop++ v.1.0.12
2021/10/02 (16:42:05) | ERROR: Invalid size of hex value: 30d63f0

2021/10/02 (16:42:14) | ===> btop++ v.1.0.12
2021/10/02 (16:42:14) | ERROR: Invalid size of hex value: 30d63f0

2021/10/02 (16:42:38) | ===> btop++ v.1.0.12
2021/10/02 (16:42:38) | ERROR: Invalid size of hex value: 30d63f0

2021/10/02 (16:43:24) | ===> btop++ v.1.0.12
2021/10/02 (16:43:24) | ERROR: Invalid size of hex value: 30d63f0

2021/10/02 (16:43:59) | ===> btop++ v.1.0.12
2021/10/02 (16:43:59) | ERROR: Invalid size of hex value: 30d63f0

2021/10/02 (16:44:32) | ===> btop++ v.1.0.12
2021/10/02 (16:44:32) | ERROR: Invalid size of hex value: 30d63f0

2021/10/02 (16:44:53) | ===> btop++ v.1.0.12
2021/10/02 (16:44:53) | ERROR: Invalid size of hex value: 30d63f0

2021/10/02 (16:45:28) | ===> btop++ v.1.0.12
2021/10/02 (16:45:28) | ERROR: Invalid size of hex value: 30d63f0

2021/10/03 (11:23:45) | ===> btop++ v.1.0.12
2021/10/03 (11:23:45) | ERROR: Invalid size of hex value: 30d63f0

2021/10/05 (11:49:21) | ===> btop++ v.1.0.12
2021/10/05 (11:49:21) | ERROR: Invalid size of hex value: 30d63f0

2021/10/05 (11:50:12) | ===> btop++ v.1.0.12
2021/10/05 (11:50:12) | ERROR: Invalid size of hex value: 30d63f0

2021/10/15 (15:18:52) | ===> btop++ v.1.0.15
2021/10/15 (15:18:52) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2021/10/15 (15:19:51) | ===> btop++ v.1.0.15
2021/10/15 (15:19:51) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2021/10/15 (15:19:59) | ===> btop++ v.1.0.15
2021/10/15 (15:19:59) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2021/10/15 (15:19:59) | ERROR: Invalid size of hex value: 30d63f0

2021/10/15 (16:38:12) | ===> btop++ v.1.0.15
2021/10/15 (16:38:12) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2021/10/15 (16:38:18) | ===> btop++ v.1.0.15
2021/10/15 (16:38:18) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2021/10/15 (16:38:18) | ERROR: Invalid size of hex value: 30d63f0
